Professional_ID,Weeks_Active,Total_Service_Hours,Total_Bookings,Avg_Weekly_Utilization,Peak_Weekly_Utilization,City,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating,Utilization_Category
P0044,26,170.4,143,14.895104895104895,26.25,Pune,Electrician,8,44,4.5,Underutilized
P0045,27,327.51666666666665,185,33.695130315500684,58.98148148148148,Pune,Appliance Repair,1,36,4.2,Healthy
P0046,27,283.7166666666667,167,26.27006172839506,58.5,Pune,Appliance Repair,7,40,4.2,Healthy
P0047,25,237.71666666666667,138,26.412962962962965,49.768518518518526,Pune,Appliance Repair,1,36,4.4,Healthy
P0048,27,257.5,145,23.84259259259259,51.04166666666667,Pune,Appliance Repair,7,40,4.5,Underutilized
P0049,26,435.25,279,41.85096153846154,88.125,Mumbai,Cleaning,1,40,4.5,Healthy
P0050,26,418.15,272,33.50560897435898,50.86805555555556,Mumbai,Cleaning,10,48,4.9,Healthy
P0051,27,410.78333333333336,272,38.035493827160494,76.75,Mumbai,Cleaning,7,40,4.2,Healthy
P0052,27,449.85,302,41.65277777777778,71.70833333333333,Mumbai,Cleaning,6,40,4.6,Healthy
P0053,26,276.45,224,22.151442307692307,38.09027777777778,Mumbai,Salon,4,48,4.7,Underutilized
P0054,27,250.96666666666667,216,23.23765432098765,43.916666666666664,Mumbai,Salon,1,40,4.3,Underutilized
P0055,27,256.81666666666666,213,23.77932098765432,47.20833333333333,Mumbai,Salon,6,40,4.3,Underutilized
P0056,27,266.43333333333334,228,27.410836762688614,47.73148148148148,Mumbai,Salon,4,36,4.6,Healthy
P0057,26,340.01666666666665,211,29.721736596736598,49.734848484848484,Mumbai,AC Repair,3,44,4.2,Healthy
P0058,27,343.7833333333333,202,31.831790123456788,58.20833333333333,Mumbai,AC Repair,9,40,4.3,Healthy
P0059,26,327.1666666666667,195,26.21527777777778,68.99305555555556,Mumbai,AC Repair,7,48,4.3,Healthy
P0060,26,370.95,205,35.66826923076923,81.0,Mumbai,AC Repair,9,40,4.2,Healthy
P0061,26,227.43333333333334,160,21.868589743589745,40.75,Mumbai,Plumbing,10,40,4.7,Underutilized
P0062,27,268.8833333333333,185,24.896604938271608,43.49999999999999,Mumbai,Plumbing,9,40,4.5,Underutilized
P0063,27,287.7,202,26.63888888888889,56.54166666666667,Mumbai,Plumbing,1,40,4.5,Healthy
P0064,27,198.23333333333332,149,18.354938271604937,39.166666666666664,Mumbai,Plumbing,9,40,4.6,Underutilized
P0065,27,246.66666666666666,199,20.763187429854096,45.22727272727272,Mumbai,Electrician,3,44,4.6,Underutilized
P0066,26,232.98333333333332,197,22.402243589743588,47.25,Mumbai,Electrician,1,40,4.7,Underutilized
P0067,27,227.21666666666667,194,21.03858024691358,39.5,Mumbai,Electrician,6,40,3.9,Underutilized
P0068,27,205.75,181,19.050925925925927,31.291666666666668,Mumbai,Electrician,9,40,4.7,Underutilized
P0069,27,329.8666666666667,188,30.54320987654321,64.625,Mumbai,Appliance Repair,2,40,4.9,Healthy
P0070,26,315.6166666666667,183,30.34775641025641,59.791666666666664,Mumbai,Appliance Repair,9,40,4.5,Healthy
P0071,26,337.4,196,32.44230769230769,71.125,Mumbai,Appliance Repair,4,40,4.7,Healthy
P0072,26,374.8333333333333,209,32.765151515151516,50.227272727272734,Mumbai,Appliance Repair,8,44,4.2,Healthy
P0073,27,385.23333333333335,252,35.66975308641975,56.16666666666668,Bengaluru,Cleaning,1,40,4.6,Healthy
P0074,27,419.5,274,38.842592592592595,77.58333333333333,Bengaluru,Cleaning,6,40,5.0,Healthy
P0075,27,385.01666666666665,259,29.708076131687243,46.63194444444444,Bengaluru,Cleaning,6,48,4.6,Healthy
P0076,27,421.8833333333333,273,39.06327160493827,58.58333333333333,Bengaluru,Cleaning,2,40,4.4,Healthy
P0077,27,236.16666666666666,198,21.86728395061728,36.20833333333333,Bengaluru,Salon,1,40,4.0,Underutilized
P0078,27,264.6333333333333,220,24.503086419753085,40.75,Bengaluru,Salon,3,40,4.4,Underutilized
P0079,27,252.93333333333334,212,26.021947873799725,44.074074074074076,Bengaluru,Salon,1,36,4.4,Healthy
P0080,27,240.58333333333334,213,20.251122334455665,36.32575757575757,Bengaluru,Salon,5,44,4.4,Underutilized
P0081,26,326.76666666666665,177,26.183226495726498,53.19444444444444,Bengaluru,AC Repair,9,48,4.6,Healthy
P0082,27,311.75,176,24.05478395061728,40.972222222222214,Bengaluru,AC Repair,3,48,3.9,Underutilized
P0083,26,303.81666666666666,177,29.21314102564103,56.54166666666667,Bengaluru,AC Repair,4,40,4.7,Healthy
P0084,27,335.1333333333333,204,31.03086419753086,74.70833333333333,Bengaluru,AC Repair,3,40,4.3,Healthy
P0085,27,237.01666666666668,166,21.945987654320987,40.583333333333336,Bengaluru,Plumbing,9,40,4.1,Underutilized
P0086,26,267.9166666666667,185,23.419289044289044,59.92424242424242,Bengaluru,Plumbing,10,44,4.7,Underutilized
P0087,27,233.48333333333332,164,19.65347923681257,35.378787878787875,Bengaluru,Plumbing,1,44,4.5,Underutilized
P0088,26,233.13333333333333,162,22.416666666666668,47.375,Bengaluru,Plumbing,7,40,4.2,Underutilized
P0089,27,226.1,184,20.935185185185187,36.791666666666664,Bengaluru,Electrician,7,40,4.6,Underutilized
P0090,27,243.36666666666667,212,25.037722908093276,49.49074074074074,Bengaluru,Electrician,10,36,4.0,Healthy
P0091,27,193.26666666666668,174,16.2682379349046,28.4469696969697,Bengaluru,Electrician,4,44,4.7,Underutilized
P0092,27,207.45,177,19.208333333333332,37.875,Bengaluru,Electrician,3,40,4.6,Underutilized
P0093,27,304.18333333333334,176,31.29458161865569,61.342592592592595,Bengaluru,Appliance Repair,2,36,4.3,Healthy
P0094,27,300.46666666666664,173,27.820987654320987,61.0,Bengaluru,Appliance Repair,9,40,4.4,Healthy
P0095,26,278.6,160,26.78846153846154,53.083333333333336,Bengaluru,Appliance Repair,6,40,4.3,Healthy
P0096,27,296.2833333333333,167,27.433641975308642,50.708333333333336,Bengaluru,Appliance Repair,5,40,4.7,Healthy
P0097,27,336.35,220,31.14351851851852,52.041666666666664,Delhi,Cleaning,5,40,4.4,Healthy
P0098,26,378.6166666666667,243,40.45049857549858,77.63888888888889,Delhi,Cleaning,6,36,4.5,Healthy
P0099,27,371.73333333333335,241,34.41975308641975,74.79166666666667,Delhi,Cleaning,4,40,4.2,Healthy
P0100,27,351.25,223,32.523148148148145,55.125,Delhi,Cleaning,2,40,4.5,Healthy
P0101,26,253.41666666666666,207,22.151806526806528,34.810606060606055,Delhi,Salon,3,44,4.3,Underutilized
P0102,26,235.55,192,22.64903846153846,41.41666666666667,Delhi,Salon,7,40,4.0,Underutilized
P0103,26,206.68333333333334,170,16.561164529914528,33.263888888888886,Delhi,Salon,10,48,4.5,Underutilized
P0104,27,197.66666666666666,168,20.3360768175583,42.68518518518519,Delhi,Salon,5,36,4.6,Underutilized
P0105,26,316.43333333333334,184,30.42628205128205,66.08333333333334,Delhi,AC Repair,10,40,4.5,Healthy
P0106,27,281.28333333333336,171,26.044753086419753,55.20833333333333,Delhi,AC Repair,9,40,4.0,Healthy
P0107,26,242.36666666666667,151,23.30448717948718,54.208333333333336,Delhi,AC Repair,5,40,4.9,Underutilized
P0108,27,254.53333333333333,152,23.567901234567902,47.791666666666664,Delhi,AC Repair,5,40,4.5,Underutilized
P0109,26,187.73333333333335,136,20.05698005698006,54.49074074074074,Delhi,Plumbing,7,36,4.1,Underutilized
P0110,26,212.28333333333333,153,22.679843304843303,40.37037037037037,Delhi,Plumbing,6,36,4.5,Underutilized
P0111,27,238.28333333333333,164,24.514746227709193,47.5462962962963,Delhi,Plumbing,5,36,4.6,Underutilized
P0112,27,191.26666666666665,134,17.709876543209877,39.166666666666664,Delhi,Plumbing,4,40,4.5,Underutilized
P0113,26,225.53333333333333,190,21.685897435897438,54.41666666666667,Delhi,Electrician,5,40,4.8,Underutilized
P0114,27,173.68333333333334,154,16.081790123456788,28.083333333333332,Delhi,Electrician,2,40,4.7,Underutilized
P0115,27,194.45,158,18.00462962962963,33.208333333333336,Delhi,Electrician,10,40,4.7,Underutilized
P0116,27,200.88333333333333,168,18.60030864197531,34.66666666666667,Delhi,Electrician,5,40,4.4,Underutilized
P0117,27,304.0833333333333,165,23.463220164609055,41.42361111111111,Delhi,Appliance Repair,8,48,4.7,Underutilized
P0118,26,273.76666666666665,146,26.32371794871795,51.66666666666667,Delhi,Appliance Repair,2,40,4.5,Healthy
P0119,27,269.2,161,24.925925925925927,61.583333333333336,Delhi,Appliance Repair,1,40,4.6,Underutilized
P0120,27,300.76666666666665,172,25.317059483726148,65.98484848484848,Delhi,Appliance Repair,3,44,4.4,Healthy
P0121,27,278.0,174,21.45061728395062,41.875,Hyderabad,Cleaning,8,48,4.5,Underutilized
P0122,27,313.81666666666666,198,29.057098765432098,56.666666666666664,Hyderabad,Cleaning,1,40,4.2,Healthy
P0123,27,291.3833333333333,179,26.97993827160494,49.958333333333336,Hyderabad,Cleaning,10,40,4.1,Healthy
P0124,25,239.73333333333332,162,26.637037037037036,66.06481481481481,Hyderabad,Cleaning,7,36,4.2,Healthy
P0125,27,186.05,155,17.22685185185185,40.25,Hyderabad,Salon,5,40,4.5,Underutilized
P0126,27,179.01666666666668,146,16.575617283950617,28.583333333333332,Hyderabad,Salon,4,40,4.4,Underutilized
P0127,26,204.45,168,19.658653846153847,43.041666666666664,Hyderabad,Salon,9,40,4.8,Underutilized
P0128,27,171.33333333333334,142,15.864197530864196,27.958333333333336,Hyderabad,Salon,4,40,4.5,Underutilized
P0129,26,240.78333333333333,137,23.15224358974359,49.041666666666664,Hyderabad,AC Repair,7,40,4.4,Underutilized
P0130,27,208.51666666666668,125,19.307098765432098,48.083333333333336,Hyderabad,AC Repair,1,40,4.7,Underutilized
P0131,26,202.76666666666668,120,17.724358974358974,46.96969696969697,Hyderabad,AC Repair,7,44,4.7,Underutilized
P0132,26,231.88333333333333,134,22.29647435897436,47.5,Hyderabad,AC Repair,6,40,4.4,Underutilized
P0133,26,148.11666666666667,109,14.24198717948718,27.666666666666668,Hyderabad,Plumbing,3,40,4.3,Underutilized
P0134,26,153.43333333333334,104,14.753205128205128,33.95833333333333,Hyderabad,Plumbing,4,40,4.2,Underutilized
P0135,26,148.53333333333333,101,15.86894586894587,35.46296296296296,Hyderabad,Plumbing,5,36,4.7,Underutilized
P0136,27,197.41666666666666,135,16.617564534231203,37.12121212121212,Hyderabad,Plumbing,5,44,4.9,Underutilized
P0137,27,166.2,148,13.989898989898991,30.454545454545457,Hyderabad,Electrician,7,44,4.9,Underutilized
P0138,26,133.31666666666666,119,11.65355477855478,28.371212121212125,Hyderabad,Electrician,9,44,4.5,Underutilized
P0139,26,140.6,127,15.021367521367521,40.09259259259259,Hyderabad,Electrician,1,36,4.5,Underutilized
P0140,24,143.81666666666666,119,14.980902777777777,33.83333333333333,Hyderabad,Electrician,10,40,4.3,Underutilized
P0141,26,210.06666666666666,123,22.44301994301994,73.00925925925925,Hyderabad,Appliance Repair,10,36,4.0,Underutilized
P0142,26,183.18333333333334,102,17.61378205128205,40.541666666666664,Hyderabad,Appliance Repair,8,40,4.4,Underutilized
P0143,26,200.8,108,17.552447552447553,41.74242424242424,Hyderabad,Appliance Repair,1,44,4.5,Underutilized
P0144,26,208.45,115,20.04326923076923,45.25,Hyderabad,Appliance Repair,4,40,4.4,Underutilized
