Booking_ID,Professional_ID,City_x,Service_Category,Booking_Date,Time_Slot,Service_Price,Distance_km,Response_Time_Min,Service_Duration_Min,Booking_Status,Cancellation_Reason,Customer_Rating,Professional_Rating,Customer_Type,Payment_Method,Booking_Month,Booking_Day,Is_Weekend,Completed_Flag,Cancelled_Flag,City_y,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating,Week,Service_Hours,Actual_Service_Hours
B00034,P0095,Bengaluru,Appliance Repair,2026-01-01 05:42:09.461178,8-10 PM,890,1.27,7.9,115,Completed,,5.0,4.4,Returning,UPI,1,Thursday,False,1,0,Bengaluru,Appliance Repair,6,40,4.3,2025-12-29/2026-01-04,1.9166666666666667,1.9166666666666667
B00035,P0120,Delhi,Appliance Repair,2026-01-01 05:52:31.566062,2-4 PM,1280,2.28,11.3,180,Completed,,4.5,5.0,Returning,UPI,1,Thursday,False,1,0,Delhi,Appliance Repair,3,44,4.4,2025-12-29/2026-01-04,3.0,3.0
B00036,P0025,Pune,Cleaning,2026-01-01 06:02:53.670946,8-10 AM,543,3.82,10.3,116,Completed,,4.7,4.4,New,UPI,1,Thursday,False,1,0,Pune,Cleaning,5,48,4.6,2025-12-29/2026-01-04,1.9333333333333333,1.9333333333333333
B00037,P0061,Mumbai,Plumbing,2026-01-01 06:13:15.775831,10-12 PM,701,2.47,4.2,68,Completed,,4.3,4.5,Returning,UPI,1,Thursday,False,1,0,Mumbai,Plumbing,10,40,4.7,2025-12-29/2026-01-04,1.1333333333333333,1.1333333333333333
B00038,P0004,Nagpur,Cleaning,2026-01-01 06:23:37.880715,10-12 PM,446,9.51,9.0,140,Cancelled,Distance Too Far,,5.0,New,UPI,1,Thursday,False,0,1,Nagpur,Cleaning,8,44,4.3,2025-12-29/2026-01-04,2.3333333333333335,0.0
B00039,P0133,Hyderabad,Plumbing,2026-01-01 06:33:59.985599,10-12 PM,624,1.54,11.8,46,Completed,,4.9,4.4,Returning,UPI,1,Thursday,False,1,0,Hyderabad,Plumbing,3,40,4.3,2025-12-29/2026-01-04,0.7666666666666667,0.7666666666666667
B00040,P0022,Nagpur,Appliance Repair,2026-01-01 06:44:22.090483,10-12 PM,1150,2.6,12.5,121,Cancelled,Long Response Time,,4.4,Returning,UPI,1,Thursday,False,0,1,Nagpur,Appliance Repair,1,36,4.4,2025-12-29/2026-01-04,2.0166666666666666,0.0
B00041,P0037,Pune,Plumbing,2026-01-01 06:54:44.195367,8-10 PM,788,2.69,7.5,71,Cancelled,Slot Not Available,,4.6,Returning,UPI,1,Thursday,False,0,1,Pune,Plumbing,9,36,4.0,2025-12-29/2026-01-04,1.1833333333333333,0.0
B00042,P0058,Mumbai,AC Repair,2026-01-01 07:05:06.300252,10-12 PM,1195,4.33,5.7,85,Completed,,4.9,4.9,Returning,UPI,1,Thursday,False,1,0,Mumbai,AC Repair,9,40,4.3,2025-12-29/2026-01-04,1.4166666666666667,1.4166666666666667
B00043,P0118,Delhi,Appliance Repair,2026-01-01 07:15:28.405136,2-4 PM,1081,3.32,8.4,171,Completed,,4.9,4.6,New,UPI,1,Thursday,False,1,0,Delhi,Appliance Repair,2,40,4.5,2025-12-29/2026-01-04,2.85,2.85
B00044,P0068,Mumbai,Electrician,2026-01-01 07:25:50.510020,6-8 PM,592,3.11,9.3,107,Completed,,4.9,4.3,Returning,Credit Card,1,Thursday,False,1,0,Mumbai,Electrician,9,40,4.7,2025-12-29/2026-01-04,1.7833333333333334,1.7833333333333334
B00045,P0101,Delhi,Salon,2026-01-01 07:36:12.614904,4-6 PM,898,12.23,16.5,74,Completed,,4.4,3.7,New,Cash,1,Thursday,False,1,0,Delhi,Salon,3,44,4.3,2025-12-29/2026-01-04,1.2333333333333334,1.2333333333333334
B00046,P0080,Bengaluru,Salon,2026-01-01 07:46:34.719788,8-10 PM,739,7.93,13.9,79,Completed,,4.7,3.8,Returning,UPI,1,Thursday,False,1,0,Bengaluru,Salon,5,44,4.4,2025-12-29/2026-01-04,1.3166666666666667,1.3166666666666667
B00047,P0089,Bengaluru,Electrician,2026-01-01 07:56:56.824672,8-10 PM,455,0.5,7.4,79,Cancelled,Slot Not Available,,4.7,New,UPI,1,Thursday,False,0,1,Bengaluru,Electrician,7,40,4.6,2025-12-29/2026-01-04,1.3166666666666667,0.0
B00048,P0097,Delhi,Cleaning,2026-01-01 08:07:18.929557,4-6 PM,676,7.43,13.1,148,Completed,,4.2,4.3,Returning,Cash,1,Thursday,False,1,0,Delhi,Cleaning,5,40,4.4,2025-12-29/2026-01-04,2.466666666666667,2.466666666666667
B00049,P0003,Nagpur,Cleaning,2026-01-01 08:17:41.034441,6-8 PM,841,1.1,9.4,84,Completed,,4.8,4.0,Returning,UPI,1,Thursday,False,1,0,Nagpur,Cleaning,3,36,3.9,2025-12-29/2026-01-04,1.4,1.4
B00050,P0141,Hyderabad,Appliance Repair,2026-01-01 08:28:03.139325,2-4 PM,1126,1.55,7.2,97,Rescheduled,,,4.3,Returning,UPI,1,Thursday,False,0,0,Hyderabad,Appliance Repair,10,36,4.0,2025-12-29/2026-01-04,1.6166666666666667,1.6166666666666667
B00051,P0100,Delhi,Cleaning,2026-01-01 08:38:25.244209,2-4 PM,559,0.99,6.8,101,Completed,,4.4,4.0,New,Debit Card,1,Thursday,False,1,0,Delhi,Cleaning,2,40,4.5,2025-12-29/2026-01-04,1.6833333333333333,1.6833333333333333
B00052,P0134,Hyderabad,Plumbing,2026-01-01 08:48:47.349093,10-12 PM,654,2.14,6.4,78,Completed,,5.0,4.3,Returning,UPI,1,Thursday,False,1,0,Hyderabad,Plumbing,4,40,4.2,2025-12-29/2026-01-04,1.3,1.3
B00053,P0101,Delhi,Salon,2026-01-01 08:59:09.453978,4-6 PM,1093,4.05,17.0,115,Completed,,4.6,3.6,Returning,UPI,1,Thursday,False,1,0,Delhi,Salon,3,44,4.3,2025-12-29/2026-01-04,1.9166666666666667,1.9166666666666667
B00054,P0139,Hyderabad,Electrician,2026-01-01 09:09:31.558862,12-2 PM,695,5.1,11.5,102,Completed,,4.9,4.2,Returning,Debit Card,1,Thursday,False,1,0,Hyderabad,Electrician,1,36,4.5,2025-12-29/2026-01-04,1.7,1.7
B00055,P0044,Pune,Electrician,2026-01-01 09:19:53.663746,8-10 AM,613,10.09,12.5,98,Rescheduled,,,4.6,New,Cash,1,Thursday,False,0,0,Pune,Electrician,8,44,4.5,2025-12-29/2026-01-04,1.6333333333333333,1.6333333333333333
B00056,P0069,Mumbai,Appliance Repair,2026-01-01 09:30:15.768630,8-10 AM,905,7.37,6.2,109,Completed,,4.5,4.1,Returning,UPI,1,Thursday,False,1,0,Mumbai,Appliance Repair,2,40,4.9,2025-12-29/2026-01-04,1.8166666666666667,1.8166666666666667
B00057,P0052,Mumbai,Cleaning,2026-01-01 09:40:37.873514,6-8 PM,736,1.11,10.4,77,Completed,,4.8,3.8,Returning,UPI,1,Thursday,False,1,0,Mumbai,Cleaning,6,40,4.6,2025-12-29/2026-01-04,1.2833333333333334,1.2833333333333334
B00058,P0011,Nagpur,AC Repair,2026-01-01 09:50:59.978399,10-12 PM,1304,2.73,6.6,93,Rescheduled,,,4.2,New,Credit Card,1,Thursday,False,0,0,Nagpur,AC Repair,5,40,3.9,2025-12-29/2026-01-04,1.55,1.55
B00059,P0111,Delhi,Plumbing,2026-01-01 10:01:22.083283,6-8 PM,630,2.94,11.6,90,Completed,,4.6,4.3,Returning,Debit Card,1,Thursday,False,1,0,Delhi,Plumbing,5,36,4.6,2025-12-29/2026-01-04,1.5,1.5
B00060,P0024,Nagpur,Appliance Repair,2026-01-01 10:11:44.188167,8-10 PM,1038,6.55,17.7,162,Completed,,4.7,4.9,Returning,UPI,1,Thursday,False,1,0,Nagpur,Appliance Repair,3,44,4.6,2025-12-29/2026-01-04,2.7,2.7
B00061,P0005,Nagpur,Salon,2026-01-01 10:22:06.293051,12-2 PM,796,9.48,12.0,85,Completed,,4.5,4.6,New,UPI,1,Thursday,False,1,0,Nagpur,Salon,6,36,4.5,2025-12-29/2026-01-04,1.4166666666666667,1.4166666666666667
B00062,P0098,Delhi,Cleaning,2026-01-01 10:32:28.397935,6-8 PM,767,1.18,8.4,138,Completed,,4.9,4.4,New,Credit Card,1,Thursday,False,1,0,Delhi,Cleaning,6,36,4.5,2025-12-29/2026-01-04,2.3,2.3
B00063,P0123,Hyderabad,Cleaning,2026-01-01 10:42:50.502820,2-4 PM,685,8.8,15.4,116,Completed,,3.8,4.0,Returning,UPI,1,Thursday,False,1,0,Hyderabad,Cleaning,10,40,4.1,2025-12-29/2026-01-04,1.9333333333333333,1.9333333333333333
B00064,P0105,Delhi,AC Repair,2026-01-01 10:53:12.607704,6-8 PM,1116,1.79,6.0,152,Completed,,4.4,4.3,New,Debit Card,1,Thursday,False,1,0,Delhi,AC Repair,10,40,4.5,2025-12-29/2026-01-04,2.533333333333333,2.533333333333333
B00065,P0109,Delhi,Plumbing,2026-01-01 11:03:34.712588,12-2 PM,774,3.19,8.1,108,Completed,,4.6,4.2,Returning,UPI,1,Thursday,False,1,0,Delhi,Plumbing,7,36,4.1,2025-12-29/2026-01-04,1.8,1.8
B00066,P0086,Bengaluru,Plumbing,2026-01-01 11:13:56.817472,8-10 PM,799,1.07,10.0,124,Completed,,4.4,4.7,Returning,Credit Card,1,Thursday,False,1,0,Bengaluru,Plumbing,10,44,4.7,2025-12-29/2026-01-04,2.066666666666667,2.066666666666667
B00067,P0123,Hyderabad,Cleaning,2026-01-01 11:24:18.922356,8-10 PM,474,9.65,19.6,124,Cancelled,Long Response Time,,5.0,New,Debit Card,1,Thursday,False,0,1,Hyderabad,Cleaning,10,40,4.1,2025-12-29/2026-01-04,2.066666666666667,0.0
B00068,P0067,Mumbai,Electrician,2026-01-01 11:34:41.027241,2-4 PM,549,7.55,6.4,49,Completed,,4.6,4.3,Returning,Credit Card,1,Thursday,False,1,0,Mumbai,Electrician,6,40,3.9,2025-12-29/2026-01-04,0.8166666666666667,0.8166666666666667
B00069,P0133,Hyderabad,Plumbing,2026-01-01 11:45:03.132125,10-12 PM,576,5.73,8.7,45,Completed,,4.7,4.5,Returning,Credit Card,1,Thursday,False,1,0,Hyderabad,Plumbing,3,40,4.3,2025-12-29/2026-01-04,0.75,0.75
B00070,P0009,Nagpur,AC Repair,2026-01-01 11:55:25.237009,6-8 PM,1176,3.07,11.1,106,Completed,,4.0,4.4,New,UPI,1,Thursday,False,1,0,Nagpur,AC Repair,3,40,4.4,2025-12-29/2026-01-04,1.7666666666666666,1.7666666666666666
B00071,P0110,Delhi,Plumbing,2026-01-01 12:05:47.341893,4-6 PM,713,0.82,10.5,122,Completed,,4.7,4.4,New,Credit Card,1,Thursday,False,1,0,Delhi,Plumbing,6,36,4.5,2025-12-29/2026-01-04,2.033333333333333,2.033333333333333
B00072,P0090,Bengaluru,Electrician,2026-01-01 12:16:09.446777,8-10 PM,411,3.09,12.8,118,Completed,,4.2,4.8,Returning,Debit Card,1,Thursday,False,1,0,Bengaluru,Electrician,10,36,4.0,2025-12-29/2026-01-04,1.9666666666666666,1.9666666666666666
B00073,P0079,Bengaluru,Salon,2026-01-01 12:26:31.551662,6-8 PM,1020,2.06,7.6,75,Completed,,5.0,3.9,New,Debit Card,1,Thursday,False,1,0,Bengaluru,Salon,1,36,4.4,2025-12-29/2026-01-04,1.25,1.25
B00074,P0120,Delhi,Appliance Repair,2026-01-01 12:36:53.656546,6-8 PM,911,6.15,8.8,142,Rescheduled,,,4.0,New,Credit Card,1,Thursday,False,0,0,Delhi,Appliance Repair,3,44,4.4,2025-12-29/2026-01-04,2.3666666666666667,2.3666666666666667
B00075,P0099,Delhi,Cleaning,2026-01-01 12:47:15.761430,6-8 PM,601,12.52,19.1,101,Completed,,4.2,4.0,Returning,Cash,1,Thursday,False,1,0,Delhi,Cleaning,4,40,4.2,2025-12-29/2026-01-04,1.6833333333333333,1.6833333333333333
B00076,P0117,Delhi,Appliance Repair,2026-01-01 12:57:37.866314,12-2 PM,1052,1.51,14.1,160,Completed,,4.6,4.4,Returning,UPI,1,Thursday,False,1,0,Delhi,Appliance Repair,8,48,4.7,2025-12-29/2026-01-04,2.6666666666666665,2.6666666666666665
B00077,P0043,Pune,Electrician,2026-01-01 13:07:59.971198,8-10 PM,762,4.95,18.1,46,Completed,,4.3,4.5,Returning,Credit Card,1,Thursday,False,1,0,Pune,Electrician,10,40,4.4,2025-12-29/2026-01-04,0.7666666666666667,0.7666666666666667
B00078,P0040,Pune,Plumbing,2026-01-01 13:18:22.076083,2-4 PM,699,0.86,12.1,139,Completed,,5.0,3.8,Returning,UPI,1,Thursday,False,1,0,Pune,Plumbing,1,40,4.3,2025-12-29/2026-01-04,2.316666666666667,2.316666666666667
B00079,P0002,Nagpur,Cleaning,2026-01-01 13:28:44.180967,2-4 PM,704,2.11,9.6,130,Completed,,4.7,4.1,Returning,Debit Card,1,Thursday,False,1,0,Nagpur,Cleaning,5,40,4.2,2025-12-29/2026-01-04,2.1666666666666665,2.1666666666666665
B00080,P0024,Nagpur,Appliance Repair,2026-01-01 13:39:06.285851,10-12 PM,910,2.34,7.5,141,Completed,,4.6,5.0,Returning,Debit Card,1,Thursday,False,1,0,Nagpur,Appliance Repair,3,44,4.6,2025-12-29/2026-01-04,2.35,2.35
B00081,P0032,Pune,Salon,2026-01-01 13:49:28.390735,12-2 PM,897,3.45,11.6,76,Completed,,4.2,4.5,Returning,Debit Card,1,Thursday,False,1,0,Pune,Salon,3,36,4.5,2025-12-29/2026-01-04,1.2666666666666666,1.2666666666666666
B00082,P0116,Delhi,Electrician,2026-01-01 13:59:50.495619,8-10 AM,537,12.17,11.8,73,Completed,,4.1,4.0,Returning,UPI,1,Thursday,False,1,0,Delhi,Electrician,5,40,4.4,2025-12-29/2026-01-04,1.2166666666666666,1.2166666666666666
B00083,P0070,Mumbai,Appliance Repair,2026-01-01 14:10:12.600504,4-6 PM,828,2.08,10.9,149,Cancelled,Slot Not Available,,4.2,Returning,UPI,1,Thursday,False,0,1,Mumbai,Appliance Repair,9,40,4.5,2025-12-29/2026-01-04,2.4833333333333334,0.0
B00084,P0104,Delhi,Salon,2026-01-01 14:20:34.705388,4-6 PM,917,1.64,10.1,66,Completed,,4.6,4.0,New,UPI,1,Thursday,False,1,0,Delhi,Salon,5,36,4.6,2025-12-29/2026-01-04,1.1,1.1
B00085,P0072,Mumbai,Appliance Repair,2026-01-01 14:30:56.810272,2-4 PM,1120,9.77,12.3,174,Completed,,4.6,3.8,Returning,Cash,1,Thursday,False,1,0,Mumbai,Appliance Repair,8,44,4.2,2025-12-29/2026-01-04,2.9,2.9
B00086,P0088,Bengaluru,Plumbing,2026-01-01 14:41:18.915156,8-10 PM,616,1.96,7.5,131,Completed,,5.0,4.2,Returning,UPI,1,Thursday,False,1,0,Bengaluru,Plumbing,7,40,4.2,2025-12-29/2026-01-04,2.183333333333333,2.183333333333333
B00087,P0013,Nagpur,Plumbing,2026-01-01 14:51:41.020040,6-8 PM,857,3.72,9.5,90,Completed,,5.0,4.0,Returning,UPI,1,Thursday,False,1,0,Nagpur,Plumbing,4,40,4.6,2025-12-29/2026-01-04,1.5,1.5
B00088,P0120,Delhi,Appliance Repair,2026-01-01 15:02:03.124924,12-2 PM,948,1.89,8.8,172,Completed,,4.1,4.2,New,UPI,1,Thursday,False,1,0,Delhi,Appliance Repair,3,44,4.4,2025-12-29/2026-01-04,2.8666666666666667,2.8666666666666667
B00089,P0106,Delhi,AC Repair,2026-01-01 15:12:25.229809,2-4 PM,1092,2.95,8.0,88,Completed,,5.0,4.6,Returning,UPI,1,Thursday,False,1,0,Delhi,AC Repair,9,40,4.0,2025-12-29/2026-01-04,1.4666666666666666,1.4666666666666666
B00090,P0036,Pune,AC Repair,2026-01-01 15:22:47.334693,4-6 PM,1480,2.32,13.1,100,Completed,,4.7,4.6,New,UPI,1,Thursday,False,1,0,Pune,AC Repair,2,40,4.6,2025-12-29/2026-01-04,1.6666666666666667,1.6666666666666667
B00091,P0064,Mumbai,Plumbing,2026-01-01 15:33:09.439577,4-6 PM,660,9.11,14.1,146,Completed,,3.9,4.3,Returning,UPI,1,Thursday,False,1,0,Mumbai,Plumbing,9,40,4.6,2025-12-29/2026-01-04,2.433333333333333,2.433333333333333
B00092,P0034,Pune,AC Repair,2026-01-01 15:43:31.544461,12-2 PM,1167,1.9,5.6,71,Cancelled,Slot Not Available,,4.3,New,UPI,1,Thursday,False,0,1,Pune,AC Repair,5,40,4.5,2025-12-29/2026-01-04,1.1833333333333333,0.0
B00093,P0100,Delhi,Cleaning,2026-01-01 15:53:53.649345,12-2 PM,711,2.79,9.6,114,Rescheduled,,,4.1,New,UPI,1,Thursday,False,0,0,Delhi,Cleaning,2,40,4.5,2025-12-29/2026-01-04,1.9,1.9
B00094,P0098,Delhi,Cleaning,2026-01-01 16:04:15.754230,12-2 PM,713,1.98,7.3,124,Completed,,5.0,4.5,New,UPI,1,Thursday,False,1,0,Delhi,Cleaning,6,36,4.5,2025-12-29/2026-01-04,2.066666666666667,2.066666666666667
B00095,P0076,Bengaluru,Cleaning,2026-01-01 16:14:37.859114,8-10 PM,634,12.88,16.4,88,Completed,,3.9,4.6,Returning,UPI,1,Thursday,False,1,0,Bengaluru,Cleaning,2,40,4.4,2025-12-29/2026-01-04,1.4666666666666666,1.4666666666666666
B00096,P0026,Pune,Cleaning,2026-01-01 16:24:59.963998,12-2 PM,707,4.12,6.7,113,Completed,,4.6,4.0,New,Debit Card,1,Thursday,False,1,0,Pune,Cleaning,9,40,4.5,2025-12-29/2026-01-04,1.8833333333333333,1.8833333333333333
B00097,P0044,Pune,Electrician,2026-01-01 16:35:22.068882,2-4 PM,535,4.96,14.0,79,Cancelled,Price Too High,,4.0,Returning,UPI,1,Thursday,False,0,1,Pune,Electrician,8,44,4.5,2025-12-29/2026-01-04,1.3166666666666667,0.0
B00098,P0004,Nagpur,Cleaning,2026-01-01 16:45:44.173766,6-8 PM,546,6.54,11.6,93,Cancelled,Slot Not Available,,4.6,Returning,Cash,1,Thursday,False,0,1,Nagpur,Cleaning,8,44,4.3,2025-12-29/2026-01-04,1.55,0.0
