Professional_ID,City,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating
P0124,Hyderabad,Cleaning,7,36,4.2
P0125,Hyderabad,Salon,5,40,4.5
P0126,Hyderabad,Salon,4,40,4.4
P0127,Hyderabad,Salon,9,40,4.8
P0128,Hyderabad,Salon,4,40,4.5
P0129,Hyderabad,AC Repair,7,40,4.4
P0130,Hyderabad,AC Repair,1,40,4.7
P0131,Hyderabad,AC Repair,7,44,4.7
P0132,Hyderabad,AC Repair,6,40,4.4
P0133,Hyderabad,Plumbing,3,40,4.3
P0134,Hyderabad,Plumbing,4,40,4.2
P0135,Hyderabad,Plumbing,5,36,4.7
P0136,Hyderabad,Plumbing,5,44,4.9
P0137,Hyderabad,Electrician,7,44,4.9
P0138,Hyderabad,Electrician,9,44,4.5
P0139,Hyderabad,Electrician,1,36,4.5
P0140,Hyderabad,Electrician,10,40,4.3
P0141,Hyderabad,Appliance Repair,10,36,4.0
P0142,Hyderabad,Appliance Repair,8,40,4.4
P0143,Hyderabad,Appliance Repair,1,44,4.5
P0144,Hyderabad,Appliance Repair,4,40,4.4
